orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0000011,Aequorivita,D55_vs_D0,-1.16404160125506,0.0016416630984178,xerD,tyrosine-type recombinase/integrase,K14059,,L: Replication;recombination and repair,0.0016416630984178,1.16404160125506
OG0000854,Sphingopyxis,D55_vs_B55,-1.16255352403975,0.0017130066322125,folA,MULTISPECIES: dihydrofolate reductase,K00287,Antifolate resistance;Biosynthesis of cofactors;Folate biosynthesis;Folate transport and metabolism;Metabolic pathways;One carbon pool by folate,H: Coenzyme transport and metabolism,0.0017130066322125,1.16255352403975
OG0001772,Halomonas,D55_vs_B55,-1.48211919514794,0.0017916190190682,gene0023,"MULTISPECIES: Na,Li,K/H(+) antiporter subunit UmpB",,,S: Function unknown,0.0017916190190682,1.48211919514794
OG0000111,Aequorivita,D55_vs_B55,1.0174316840999,0.0019622027856742,sadA,hypothetical protein,,,U: Intracellular trafficking;secretion;and vesicular transport;L: Replication;recombination and repair,0.0019622027856742,1.0174316840999
OG0000336,Aequorivita,D55_vs_D0,-1.1308547439751,0.0020255876668233,gene2718,hypothetical protein,,,,0.0020255876668233,1.1308547439751
OG0002181,Psychrobacter,D55_vs_D0,1.00047275759604,0.0020938811379356,gene0771,hypothetical protein,,,,0.0020938811379356,1.00047275759604
OG0001647,Aequorivita,D55_vs_D0,-1.21031123291212,0.0020963946313288,gene3143,hypothetical protein,,,,0.0020963946313288,1.21031123291212
OG0002099,Halomonas,D55_vs_B55,-2.03923391997987,0.0021203106027116,ftsB,MULTISPECIES: septum formation initiator family protein,K05589,,D: Cell cycle control;cell division;chromosome partitioning,0.0021203106027116,2.03923391997987
OG0001723,Aequorivita,D55_vs_B55,1.18333033741592,0.0023402437682841,gene2846,DUF922 domain-containing protein,,,O: Posttranslational modification;protein turnover;chaperones,0.0023402437682841,1.18333033741592
OG0001184,Halomonas,D55_vs_B55,1.08377952311147,0.0024177203783828,gene2490,EamA family transporter,,,E: Amino acid transport and metabolism;G: Carbohydrate transport and metabolism,0.0024177203783828,1.08377952311147
OG0000027,Psychrobacter,D55_vs_D0,1.37261832090008,0.0024435236907094,dctM,MULTISPECIES: TRAP transporter large permease subunit,K11690,Two-component system,G: Carbohydrate transport and metabolism;Q: Secondary metabolites biosynthesis;transport and catabolism,0.0024435236907094,1.37261832090008
OG0000987,Psychrobacter,D55_vs_D0,1.14343451188326,0.0024435236907094,ybgC,thioesterase,K07107,,S: Function unknown,0.0024435236907094,1.14343451188326
OG0002115,Halomonas,D55_vs_B55,-1.24535067085273,0.0025004379257295,lrgB,LrgB family protein,,,M: Cell wall/membrane/envelope biogenesis,0.0025004379257295,1.24535067085273
OG0001760,Aequorivita,D55_vs_D0,-1.671327988434,0.0025410104648948,gene3032,hypothetical protein,,,S: Function unknown,0.0025410104648948,1.671327988434
OG0001164,Aequorivita,D55_vs_B55,-1.06624599312479,0.002555900145046,tig,trigger factor,K03545,,D: Cell cycle control;cell division;chromosome partitioning;O: Posttranslational modification;protein turnover;chaperones,0.002555900145046,1.06624599312479
OG0001795,Halomonas,D55_vs_D0,-2.21291538283187,0.0026054297540675,gene0354,hypothetical protein,,,,0.0026054297540675,2.78006068259129
OG0002012,Halomonas,D55_vs_D0,-1.21152308137367,0.0026818820616571,cptB,MULTISPECIES: succinate dehydrogenase assembly factor 2,K09159,,S: Function unknown,0.0026818820616571,1.21152308137367
OG0000871,Halomonas,D55_vs_B55,1.20427214320964,0.0027684701856621,glyS1,amidohydrolase,,,S: Function unknown,0.0027684701856621,1.20427214320964
OG0001605,Aequorivita,D55_vs_B55,1.202685914027,0.0027957051601984,gene1127,DNA-binding response regulator,K02477,,K: Transcription;T: Signal transduction mechanisms,0.0027957051601984,1.202685914027
OG0001026,Halomonas,D55_vs_D0,-1.03267979125751,0.0028296603193521,sutR,MULTISPECIES: XRE family transcriptional regulator,K23779,,K: Transcription,0.0028296603193521,1.03267979125751
OG0001161,Aequorivita,D55_vs_D0,1.20203019511976,0.0028605392598352,merA,mercury(II) reductase,K00520,,C: Energy production and conversion,0.0028605392598352,1.20203019511976
OG0002087,Halomonas,D55_vs_B55,1.33665325995474,0.0028699344169566,gene1082,DUF1315 family protein,K09916,,S: Function unknown,0.0028699344169566,1.33665325995474
OG0002170,Psychrobacter,D55_vs_B55,1.45795916632197,0.0029692547508776,gene2138,transposase OrfA,K07483,,L: Replication;recombination and repair,0.0029692547508776,1.45795916632197
